"Physical Time: Physical Time (s)","Inlet1RH Monitor: Surface Average of RH","Inlet1T Monitor: Surface Average of Temperature (C)","RH1 Monitor: Sum of RH","RH10 Monitor: Sum of RH","RH2 Monitor: Sum of RH","RH3 Monitor: Sum of RH","RH4 Monitor: Sum of RH","RH5 Monitor: Sum of RH","RH6 Monitor: Sum of RH","RH7 Monitor: Sum of RH","RH8 Monitor: Sum of RH","RH9 Monitor: Sum of RH","T1 Monitor: Sum of Temperature (C)","T10 Monitor: Sum of Temperature (C)","T2 Monitor: Sum of Temperature (C)","T3 Monitor: Sum of Temperature (C)","T4 Monitor: Sum of Temperature (C)","T5 Monitor: Sum of Temperature (C)","T6 Monitor: Sum of Temperature (C)","T7 Monitor: Sum of Temperature (C)","T8 Monitor: Sum of Temperature (C)","T9 Monitor: Sum of Temperature (C)","velocity Monitor: Surface Average of Velocity: Magnitude (m/s)","wall Monitor: Surface Average of Temperature (C)"
6600,57.5079541026619,20.9999999999999,62.0561206707232,61.5770923559859,61.4020870043292,61.104091754752,61.701927618904,66.3853251835798,64.0502993426741,60.9708064087252,62.3096184733985,67.0806950985945,19.6786493771679,19.8222658809913,19.8407491788398,19.9229163264331,19.7836503864983,18.5963059214898,19.1738031917818,19.969044099319,19.5992107796918,18.4165050567896,0.2,16.6999999999999
7200,57.5079541831201,20.9999999999999,61.9392026423829,61.2877588426536,61.6753937262905,61.4049243481877,61.679977917906,66.5079714499448,63.6368399859266,61.088749827924,63.1980302385721,66.4620901455325,19.7431321034187,19.9263484199335,19.803240512405,19.8727317031954,19.8183017712008,18.5953845482674,19.3101875864492,19.9654839315974,19.4046185418936,18.6019848168982,0.2,16.6999999999999
7800,57.5079540851261,20.9999999999999,61.7270616442463,61.1439203392976,61.8376353190892,61.4690804428295,61.5580978517985,66.9400400885886,63.3165755934603,61.2836936162569,64.0775478895063,66.7058509092008,19.8183615663326,19.9785330988683,19.7810509296182,19.878498041948,19.8671360986155,18.5120086165107,19.4107125659814,19.9325369946347,19.206643868655,18.5669803693882,0.2,16.6999999999999
8400,52.6857425063519,29.9999999999999,62.39472577435,60.1965471674255,62.7566082105874,61.5828577254105,62.9796796483887,67.6514444024515,64.2583685515994,62.5976786849153,65.6485121774671,69.1364078407158,22.3159691447103,24.0392393429126,21.8853814196917,22.1945819741752,22.6721382225589,20.4155459728495,21.9720366317187,22.5052661243259,20.6518877378189,20.2373065406142,0.2,17.7999999999999
9000,52.6857424850877,29.9999999999999,61.7149540190304,60.0920054783052,61.9902945312663,61.6244645048485,62.7510334274272,70.1963705168645,64.8988682198263,61.4775585388422,67.1032683246464,73.1483193266881,24.3701568013305,25.3167312204159,24.1656978543401,24.1262173473451,24.5344061552445,21.6810692462411,23.7141460103567,24.5649348996344,22.1681265414141,20.882271221194,0.2,17.7999999999999
9600,52.6857424091576,29.9999999999999,61.6598123906345,61.7901011536627,61.0871984721643,61.2260787626356,63.5531823357391,73.2715083301851,65.5714284571405,61.0633744910957,68.6621955029908,77.4433558754148,25.4909924012327,25.6994581970599,25.6526684453905,25.5261383469975,25.253827852188,22.2418223942736,24.6094834801756,25.63813638501,23.0940694191762,21.1314075777572,0.2,17.7999999999999
10200,52.6857423046952,29.9999999999999,61.6746237083646,62.2091156681495,61.2180633612251,61.2306193165225,64.048069092679,75.2209794476427,65.6816345609218,61.0793762794503,70.5046470530408,79.4053637001129,26.1471102633485,26.1098597113683,26.3061790988483,26.2425650203973,25.6358769482619,22.601987644615,25.1742890175595,26.2536269521265,23.4997122914129,21.6436131320447,0.2,17.7999999999999
10800,52.6857422886786,29.9999999999999,61.2940837007617,62.2673294353985,61.4216584190659,61.9206259248326,65.1885016775141,76.040240094152,65.764672793974,61.4327059270512,72.0596522099934,78.1214825263637,26.6555047564163,26.4753994687875,26.6349783184156,26.4592136084628,25.6693807819033,22.9113825431542,25.5111536046093,26.5730504238622,23.6759947586585,22.455315429599,0.2,17.7999999999999
11400,52.6857422275555,29.9999999999999,61.0404144366998,62.6898441145944,62.6206887964508,62.7574432087228,66.5474352395811,75.743645672907,66.465913714582,61.9132163921446,72.4035834741725,76.1996558250792,26.9807113862151,26.5808900455522,26.5468274424439,26.4852402643658,25.5493860912254,23.2909452730948,25.5663292757851,26.7175293979139,23.9393987262754,23.1879400753444,0.2,17.7999999999999
12000,52.6857422004551,29.9999999999999,60.4509345255554,62.5331936533973,62.8746766204381,62.5455425668085,67.3716622851756,72.6551087593492,66.3033018704294,61.1982754699162,71.9513736548399,72.7806332908988,27.3138550769534,26.7755097256696,26.6434416231655,26.7091604798075,25.4953615041752,24.1833429318631,25.7632243675854,27.0970343633749,24.2604038406233,24.1453635283405,0.2,20.4999999999999
12600,52.6857421762072,29.9999999999999,60.2718450347921,62.1365335547285,62.5010926946883,62.2892287934073,68.0023121382122,69.8408409256706,66.5895684106274,60.8867760777157,71.3834403174329,69.9002206087255,27.4746928629992,26.9820840714024,26.8549477516897,26.8974862173558,25.4403917251872,24.9680804119797,25.7922296407558,27.3001356606856,24.5350564142499,24.9440447405206,0.2,20.4999999999999
13200,52.6857421597775,29.9999999999999,60.359032058139,61.6206918507143,62.6015133934138,62.0453329658172,68.5022510003514,68.2462832981117,67.0182606942496,60.6862851197064,70.5676474885248,68.1934432984818,27.5186128061367,27.1863404818955,26.8973736608968,27.0409965195444,25.3816467997148,25.4325015962904,25.7481309778391,27.4288492405815,24.821261270563,25.4385862761692,0.2,20.4999999999999
13800,52.6857421576176,29.9999999999999,60.3239052227938,61.1276923439689,63.0765168948377,61.92563879577,68.8666274264443,67.7425378348788,67.3437760942579,60.7770491116697,70.0855750036434,67.13906468106,27.5738455967972,27.3647755467298,26.813035208765,27.1230450598501,25.33272999278,25.6043796105517,25.707791296055,27.4491478350859,24.9973003568863,25.7515046273705,0.2,20.4999999999999
14400,52.6857421502239,29.9999999999999,60.3442172148636,60.8259594541664,63.3639011567073,61.9081684975101,68.7160363110939,67.4803933450548,67.6687039002408,60.8399353548518,70.2992817510413,66.6264231057434,27.5981321624569,27.4751945871865,26.7649636262763,27.1603836372327,25.3969153997426,25.7000459391204,25.6544909722194,27.4613952146815,24.986847302112,25.9128781361387,0.2,20.4999999999999
15000,52.685742131382,29.9999999999999,60.4408971177306,60.6536332697966,63.7711292264249,61.9846632931093,68.9394091093632,67.2832159025751,68.0493706883639,60.9307851968685,69.7661596586979,66.4371117705115,27.5905531417671,27.5398641002543,26.6751159698852,27.1595369316448,25.3603245857232,25.7690482625848,25.5786987002714,27.4547999888175,25.1417856263623,25.9816877547453,0.2,20.4999999999999
15600,49.2471426008086,17,59.703283744491,62.9856188213363,64.3487647675331,61.8151576170548,65.8450248046332,65.0254509243449,65.0393577167613,60.1062063691389,67.6171994688119,62.7418475667756,24.9493403702654,22.6135495316132,23.0521686873064,23.9093718831448,23.0870706724034,23.5885015310085,23.4235375552628,23.9772165793811,24.297927323258,23.539196263775,0.2,23.7
